SPAWN EXTRACTION REPORT
======================================================================

Graph Points: 5345 extracted from original game graph

Only in original (3295):
  DV_zone_mine_gravitational (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  DV_zone_mine_gravitational_0000 (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  DV_zone_mine_gravitational_0001 (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  DV_zone_mine_gravitational_0002 (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  DV_zone_mine_gravitational_0003 (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  DV_zone_mine_gravitational_0004 (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  aes_torrid_zone (section=fireball_electric_zone, gvid=3079, level=l12_stancia)
  agr_awr_tiski_01 (section=physic_object, gvid=1036, level=l03_agroprom)
  agr_btr1 (section=m_car, gvid=873, level=l03_agroprom)
  agr_btr2 (section=m_car, gvid=873, level=l03_agroprom)
  agr_smart_cover_otzhiman_1 (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_cover_otzhiman_2 (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_cover_otzhiman_3 (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_cover_otzhiman_4 (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_cover_otzhiman_5 (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_cover_otzhiman_main (section=smart_cover, gvid=1080, level=l03_agroprom)
  agr_smart_terrai_SRI_spot (section=space_restrictor, gvid=977, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_1 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_10 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_11 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_12 (section=smart_cover, gvid=979, level=l03_agroprom)
  agr_smart_terrain_1_6_animpoint_camp_13 (section=smart_cover, gvid=979, level=l03_agroprom)
